epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.205,1.25079,4.01858,1.43058,0.26748,0.20263,0.09694,0.06758,1.23885,3.11886,1.38325,0.000100637,0.000100637,0.000100637
2,195.003,1.25283,3.16475,1.40568,0.25664,0.29151,0.2179,0.14897,1.26791,2.51385,1.43783,0.000197644,0.000197644,0.000197644
3,289.108,1.23661,2.70136,1.4028,0.3074,0.37334,0.26216,0.17594,1.24587,2.50868,1.41168,0.000290652,0.000290652,0.000290652
4,381.053,1.20724,2.47808,1.36692,0.40139,0.3843,0.3243,0.21895,1.23056,2.16842,1.37833,0.000285002,0.000285002,0.000285002
5,474.476,1.19415,2.32334,1.35702,0.50566,0.37451,0.33847,0.23529,1.22633,2.07989,1.37293,0.000279002,0.000279002,0.000279002
6,566.186,1.1691,2.18929,1.34127,0.33498,0.43278,0.37616,0.25331,1.20388,1.99966,1.37242,0.000273003,0.000273003,0.000273003
7,659.757,1.15611,2.10247,1.33029,0.3849,0.40274,0.37039,0.25634,1.21979,2.07354,1.39812,0.000267004,0.000267004,0.000267004
8,751.294,1.14725,2.01434,1.3213,0.36156,0.46569,0.44334,0.30782,1.16472,1.77384,1.34535,0.000261004,0.000261004,0.000261004
9,844.695,1.14066,1.96227,1.31393,0.65438,0.40232,0.4525,0.31796,1.15672,1.74686,1.32037,0.000255005,0.000255005,0.000255005
10,936.721,1.11734,1.88298,1.30214,0.46417,0.48878,0.4879,0.34276,1.1671,1.69855,1.3235,0.000249005,0.000249005,0.000249005
11,1029.51,1.10494,1.8315,1.29149,0.49626,0.50943,0.50122,0.35319,1.14245,1.55917,1.30366,0.000243006,0.000243006,0.000243006
12,1121.4,1.10735,1.77016,1.28951,0.52496,0.48277,0.49623,0.3432,1.15209,1.60925,1.30567,0.000237007,0.000237007,0.000237007
13,1215.59,1.09106,1.70685,1.2738,0.56871,0.48707,0.52245,0.36712,1.14026,1.60628,1.30921,0.000231007,0.000231007,0.000231007
14,1308.19,1.07019,1.65693,1.27121,0.48386,0.55405,0.52627,0.37765,1.12652,1.54692,1.29672,0.000225008,0.000225008,0.000225008
15,1399.44,1.07473,1.6407,1.2724,0.51709,0.54306,0.53891,0.38277,1.12242,1.5661,1.29748,0.000219008,0.000219008,0.000219008
16,1494.75,1.06429,1.56831,1.25918,0.54777,0.53456,0.5422,0.38035,1.13049,1.52629,1.29195,0.000213009,0.000213009,0.000213009
17,1588.69,1.0572,1.53069,1.25469,0.5737,0.54179,0.57121,0.40573,1.10336,1.41503,1.27161,0.00020701,0.00020701,0.00020701
18,1680.79,1.0357,1.51557,1.24623,0.5781,0.54621,0.56869,0.40728,1.09507,1.39489,1.26643,0.00020101,0.00020101,0.00020101
19,1774.45,1.05039,1.47696,1.25036,0.55675,0.58059,0.57707,0.4149,1.10226,1.34826,1.27599,0.000195011,0.000195011,0.000195011
20,1866.74,1.04248,1.45979,1.24458,0.52339,0.56596,0.56057,0.40995,1.083,1.43172,1.26665,0.000189011,0.000189011,0.000189011
21,1960.28,1.04368,1.42801,1.24358,0.59415,0.53147,0.57002,0.40461,1.10129,1.37976,1.27782,0.000183012,0.000183012,0.000183012
22,2054.98,1.02392,1.39181,1.23807,0.59462,0.59183,0.59513,0.43024,1.07242,1.3369,1.24505,0.000177013,0.000177013,0.000177013
23,2148.14,1.00464,1.3521,1.22507,0.57854,0.55297,0.579,0.41899,1.07953,1.38066,1.25293,0.000171013,0.000171013,0.000171013
24,2241.62,1.01492,1.3408,1.22638,0.61599,0.56262,0.60441,0.43565,1.07794,1.29693,1.25067,0.000165014,0.000165014,0.000165014
25,2335.32,1.00444,1.33264,1.22426,0.56633,0.61976,0.59776,0.43272,1.07306,1.28419,1.24783,0.000159014,0.000159014,0.000159014
26,2426.75,0.99566,1.30332,1.21767,0.60265,0.60681,0.61576,0.44218,1.06834,1.25906,1.25272,0.000153015,0.000153015,0.000153015
27,2519.69,0.99267,1.28457,1.21839,0.60075,0.59128,0.60142,0.43208,1.07899,1.27038,1.25902,0.000147016,0.000147016,0.000147016
28,2611.44,0.98975,1.2698,1.21069,0.60593,0.56646,0.60427,0.43606,1.06919,1.26287,1.245,0.000141016,0.000141016,0.000141016
29,2703.99,0.98931,1.25608,1.21191,0.61193,0.60554,0.62198,0.44995,1.05862,1.26319,1.2493,0.000135017,0.000135017,0.000135017
30,2797.7,0.98235,1.22688,1.20533,0.63926,0.56073,0.62201,0.45337,1.06495,1.23863,1.24475,0.000129017,0.000129017,0.000129017
31,2889.22,0.9729,1.19819,1.19912,0.60189,0.61286,0.62677,0.45614,1.04464,1.22492,1.23103,0.000123018,0.000123018,0.000123018
32,2982.53,0.96653,1.18758,1.19743,0.63,0.59116,0.61207,0.44466,1.04674,1.24903,1.23373,0.000117019,0.000117019,0.000117019
33,3076.17,0.96083,1.16714,1.19055,0.55325,0.61449,0.60433,0.44565,1.02666,1.2366,1.20688,0.000111019,0.000111019,0.000111019
34,3168.03,0.95362,1.1506,1.19064,0.68334,0.56548,0.61627,0.45225,1.04008,1.21175,1.21745,0.00010502,0.00010502,0.00010502
35,3261.9,0.95611,1.12404,1.18527,0.63079,0.60728,0.63263,0.45935,1.0369,1.18021,1.22621,9.90204e-05,9.90204e-05,9.90204e-05
36,3428.51,0.94226,1.1177,1.18541,0.64912,0.60675,0.6343,0.45953,1.04251,1.18834,1.21744,9.3021e-05,9.3021e-05,9.3021e-05
37,3521.82,0.94751,1.1293,1.18738,0.65116,0.59103,0.62812,0.46002,1.02544,1.20229,1.21609,8.70216e-05,8.70216e-05,8.70216e-05
38,3614.8,0.93918,1.09957,1.17694,0.63645,0.61341,0.63692,0.47038,1.03036,1.17805,1.21582,8.10222e-05,8.10222e-05,8.10222e-05
39,3707.34,0.9463,1.08994,1.18215,0.65883,0.60494,0.63734,0.46875,1.02166,1.16367,1.2074,7.50228e-05,7.50228e-05,7.50228e-05
40,3799.75,0.91467,1.06707,1.16808,0.64959,0.60349,0.63479,0.46798,1.02426,1.16696,1.21154,6.90234e-05,6.90234e-05,6.90234e-05
41,3892.81,0.873,0.9531,1.15579,0.67411,0.58688,0.62078,0.45834,1.02053,1.21206,1.21408,6.3024e-05,6.3024e-05,6.3024e-05
42,3981.87,0.84788,0.88182,1.14111,0.64976,0.59504,0.62469,0.46223,1.01678,1.20525,1.21408,5.70246e-05,5.70246e-05,5.70246e-05
43,4072.62,0.84451,0.86093,1.12999,0.65669,0.6076,0.63458,0.47469,1.00366,1.17008,1.19683,5.10252e-05,5.10252e-05,5.10252e-05
44,4162.2,0.83248,0.83915,1.1287,0.67965,0.59634,0.63348,0.47187,0.9946,1.17023,1.19539,4.50258e-05,4.50258e-05,4.50258e-05
45,4251.83,0.8222,0.8277,1.12348,0.71449,0.58585,0.63778,0.47875,0.99354,1.14229,1.19874,3.90264e-05,3.90264e-05,3.90264e-05
46,4342.29,0.81513,0.79969,1.11814,0.63837,0.61984,0.63816,0.47642,0.99341,1.15483,1.19643,3.3027e-05,3.3027e-05,3.3027e-05
47,4432.42,0.81132,0.79006,1.11288,0.69411,0.58311,0.64069,0.47905,0.99802,1.14972,1.19725,2.70276e-05,2.70276e-05,2.70276e-05
48,4524.27,0.80258,0.78976,1.1054,0.62384,0.64179,0.64063,0.47779,0.98759,1.13833,1.19007,2.10282e-05,2.10282e-05,2.10282e-05
49,4613.93,0.80039,0.76855,1.10459,0.6598,0.6305,0.65246,0.48804,0.98545,1.13424,1.1891,1.50288e-05,1.50288e-05,1.50288e-05
